属性グループ名,数
会社【2024年4月サーベイ実施時】,1
部【2024年4月サーベイ実施時】,1
グループ【2024年4月サーベイ実施時】,1
補）役割,1
サンプル-係,1
グループ【2024年11月サーベイ実施時】,1
Brach office,1
Hereditary occupational group,1
Results of the last evaluationDelete,1
新卒2年目,1
鉄道事業本部・担当④,1
鉄道事業本部・担当⑤,1
新入社員区分,1
Seniority (Length of working),1
Results of the last evaluation,1
対象業務,1
勤務日数,1
Group（上長）,1
エリア（本部勤務者は該当なしを選択）,1
担当ＣＦ・支店,1
仮想組織_1907,1
直近査定,1
役職(2018.02),1
勤続年数(2018.02),1
職種(2018.02),1
年代（2017.12）,1
ユニット（2018.01）,1
職位（2018.01）,1
本部非該当,1
等級その他,1
エリア／部,1
Year of employment,1
div,1
持株会_株式保有有無,1
※FS用属性,1
室・課・支社・グループ・チーム,1
入社時期　※Craft Eggへの入社,1
部署(部長含む),1
部署(部長除く),1
部署(職種別),1
旧）部門,1
旧）ユニット,1
課・チーム・グループ(退職者除く),1
プロジェクト1（複数ある方は複数回答お願いします）,1
プロジェクト4（複数ある方は複数回答お願いします）,1
プロジェクト8（複数ある方は複数回答お願いします）,1
TM向け研修コース,1
今年度正社員登用者,1
店長担当,1
組織／小分類（退職者除く）,1
MBO,1
年収レンジ,1
課・支社・グループ,1
学歴（偏差値）,1
Service years,1
過去組織2,1
その他組み分け７,1
事業グループ,1
セクション・ユニット,1
店舗（階層2）,1
ポッケ事業部プロジェクト名,1
コース別,1
早出残業時間,1
サクセッション候補,1
研究所,1
プロ,1
アマチュア,1
プロダクトボード,1
サークル利用有無,1
キャリちゃれプレゼン有無,1
ジョブちぇん有無,1
プレチェン有無,1
理念使用_拠点ﾌﾗｸﾞ,1
キャリアグループ,1
職位レベル,1
回答対象者,1
グループ（マネジャーを除く）,1
比較用データ,1
生産本部本社,1
TOP入社（出向開始）時期,1
課長発令年数,1
室（階層上位）,1
本社/事業所,1
所属事業本部,1
資格（詳細）,1
属性別サマリ追加集計用,1
資格給,1
部署・拠点,1
役割・属性,1
職域能力ランク,1
部署・事業部,1
現在組織3,1
ジクシスにおける職位,1
社員別,1
部 / センター,1
年齢・性別,1
保有資格,1
貢献度評価,1
ファンクション,1
在籍企業,1
プロジェクト２,1
プロジェクト３,1
プロジェクト事務所,1
部署名②,1
SES・業務内容,1
本・事業部,1
グループ兼任者用,1
特定対象者,1
技術担当・プロジェクト,1
現職場の経験年数,1
他社での就業経験,1
労働時間制,1
アドレス設定,1
その他組み分け６,1
ロールモデル交流会参加者,1
FLEXY_M2,1
組織55：工事部等,1
チーム（22年4月組織変更後）,1
ＢＵ,1
役職区分②,1
上場前後,1
営業所・チーム,1
支社支店区分,1
2022年入社月,1
箇所内詳細（１）,1
現職名,1
現等級名,1
役割級,1
部署名５,1
本体・出向,1
組織上の役職・役割,1
58期異動,1
分析軸A',1
手帳の有無,1
所属6,1
残業頻度,1
店舗内役割（追設用）,1
地域区分,1
規定区分,1
